aid,bvid,title,播放量,点赞数,投币数,属地,视频时长(秒),视频时长(分:秒),up主,up主ID,发布时间,视频分类,收藏数,分享数,评论数,弹幕数
114255391102344,BV1usZEYQEB8,到腰魔点单一定不能这么点,2236413,50424,414,辽宁,29,0:29,腰魔,3493295432928060,2025-03-31 13:31:20,美食记录,919,469,1205,86
114256766836673,BV1arZJYfELj,记录1000个餐饮人的故事之 小二面店,1014091,18847,168,湖南,50,0:50,嘉肴长沙,319089553,2025-03-31 19:22:16,美食侦探,1222,334,288,39
114255995078952,BV1F2ZnYLENk,花400元买的真空腌制机，腌制1小时的羊腿，烤熟后能入味吗？,1710559,19682,2055,江西,353,5:53,馋大鑫,382375531,2025-03-31 16:04:26,美食测评,3462,227,400,765
114253746932562,BV1fhZyYkEci,不敢想象这一口下去有多鲜美,3635052,193087,2541,浙江,68,1:08,Ayu速食,3546694348180122,2025-03-31 21:32:27,美食侦探,16566,4647,3640,5993
114255961595773,BV1jdZnYuEEg,现在好起来了，随便卖两个快餐就几千块，也不知道小哥哥家里是什么条件#广式烧腊 #美食,587666,28831,493,广东,159,2:39,bil品鲜园烧腊快餐店,3493298886936758,2025-03-31 16:00:32,美食侦探,659,215,1068,513
114261967771897,BV1rqZtYeErC,没有父母，19岁送外卖供三姐弟读书，她是姐姐，也是爸爸妈妈,715202,88356,78286,江苏,402,6:42,颜锅锅的江湖记,1837209664,2025-04-01 17:28:19,美食记录,6384,623,1768,1483
114249300971199,BV1t5ZvYYEJC,把黄豆放啤酒里泡一泡 竟然能做出小时候打酱油的味道,1599540,65388,1975,辽宁,91,1:31,舌尖上的老六,97039736,2025-03-30 17:00:00,美食制作,22670,1975,1883,755
114251180021658,BV1kdZBYwEUT,潮汕街头偶遇可以吃的泥！！！,2449352,48201,550,广西,63,1:03,小极贪吃日记,3546390703638988,2025-03-30 19:50:42,美食侦探,2312,1411,1603,1150
114262034941456,BV1PhZtYzEnA,教你如何抗议朋友来家里蹭饭,5313003,75835,1129,福建,75,1:15,大伟投食记官方账号,1868223528,2025-04-01 17:46:13,美食记录,22558,1564,706,302
114255407882168,BV1uWZEYpE9o,世界上最好吃的海螺，潮汕炭烧大响螺！不知道做成沸腾鱼片会不会更好吃！,727173,35563,1328,上海,242,4:02,琼斯爱生活,46349288,2025-03-31 13:38:11,美食测评,2194,682,706,608
114216451184783,BV1dSoyYiEom,今我孙子自己做的烤鸡胸肉还有鸡翅我又炒的木须肉,5778347,1163031,379360,河北,68,1:08,和小凯的平淡生活,3546814389160076,2025-03-24 16:38:27,美食记录,73915,5676,22120,47491
114261212857400,BV1sXZbYVETR,汕头，你的美食真的让人上头！,1795443,45810,12812,广东,981,16:21,猴儿甜猴儿甜,703057028,2025-04-01 18:00:00,美食侦探,54755,20310,1455,1339
114267705579070,BV1rmfKY3Eoo,广西特色美食，广西三月三也太热闹了吧！（草料哥在广西篇）,729778,70731,1251,广西,187,3:07,理查不会降落,101682188,2025-04-02 17:55:44,美食记录,1896,872,1558,798
